Таблица лексем
+--------------------------------+
|Строка    |Позиция   |Лексема   |
+--------------------------------+
|1         |1         |t         |
|1         |2         |i         |
|1         |3         |=         |
|1         |4         |l         |
|1         |5         |;         |
|3         |1         |f         |
|3         |2         |t         |
|3         |3         |i         |
|3         |4         |(         |
|3         |5         |t         |
|3         |6         |i         |
|3         |7         |,         |
|3         |8         |t         |
|3         |9         |i         |
|3         |10        |)         |
|3         |11        |{         |
|4         |1         |r         |
|4         |2         |i         |
|4         |3         |o         |
|4         |4         |i         |
|4         |5         |;         |
|5         |1         |}         |
|6         |1         |f         |
|6         |2         |t         |
|6         |3         |i         |
|6         |4         |(         |
|6         |5         |t         |
|6         |6         |i         |
|6         |7         |,         |
|6         |8         |t         |
|6         |9         |i         |
|6         |10        |)         |
|6         |11        |{         |
|7         |1         |r         |
|7         |2         |i         |
|7         |3         |o         |
|7         |4         |i         |
|7         |5         |;         |
|8         |1         |}         |
|9         |1         |f         |
|9         |2         |t         |
|9         |3         |i         |
|9         |4         |(         |
|9         |5         |t         |
|9         |6         |i         |
|9         |7         |,         |
|9         |8         |t         |
|9         |9         |i         |
|9         |10        |)         |
|9         |11        |{         |
|10        |1         |q         |
|10        |2         |(         |
|10        |3         |i         |
|10        |4         |u         |
|10        |5         |i         |
|10        |6         |)         |
|10        |7         |{         |
|11        |1         |r         |
|11        |2         |l         |
|11        |3         |;         |
|12        |1         |}         |
|13        |1         |s         |
|13        |2         |{         |
|14        |1         |r         |
|14        |2         |l         |
|14        |3         |;         |
|15        |1         |}         |
|16        |1         |r         |
|16        |2         |l         |
|16        |3         |;         |
|17        |1         |}         |
|18        |1         |f         |
|18        |2         |t         |
|18        |3         |i         |
|18        |4         |(         |
|18        |5         |t         |
|18        |6         |i         |
|18        |7         |,         |
|18        |8         |t         |
|18        |9         |i         |
|18        |10        |)         |
|18        |11        |{         |
|19        |1         |q         |
|19        |2         |(         |
|19        |3         |i         |
|19        |4         |u         |
|19        |5         |i         |
|19        |6         |)         |
|19        |7         |{         |
|20        |1         |r         |
|20        |2         |l         |
|20        |3         |;         |
|21        |1         |}         |
|22        |1         |s         |
|22        |2         |{         |
|23        |1         |r         |
|23        |2         |l         |
|23        |3         |;         |
|24        |1         |}         |
|25        |1         |r         |
|25        |2         |l         |
|25        |3         |;         |
|26        |1         |}         |
|27        |1         |f         |
|27        |2         |t         |
|27        |3         |i         |
|27        |4         |(         |
|27        |5         |t         |
|27        |6         |i         |
|27        |7         |,         |
|27        |8         |t         |
|27        |9         |i         |
|27        |10        |)         |
|27        |11        |{         |
|28        |1         |r         |
|28        |2         |i         |
|28        |3         |o         |
|28        |4         |i         |
|28        |5         |;         |
|29        |1         |}         |
|30        |1         |f         |
|30        |2         |t         |
|30        |3         |i         |
|30        |4         |(         |
|30        |5         |t         |
|30        |6         |i         |
|30        |7         |,         |
|30        |8         |t         |
|30        |9         |i         |
|30        |10        |)         |
|30        |11        |{         |
|31        |1         |t         |
|31        |2         |i         |
|31        |3         |=         |
|31        |4         |l         |
|31        |5         |;         |
|32        |1         |t         |
|32        |2         |i         |
|32        |3         |=         |
|32        |4         |(         |
|32        |5         |i         |
|32        |6         |o         |
|32        |7         |i         |
|32        |8         |o         |
|32        |9         |i         |
|32        |10        |(         |
|32        |11        |l         |
|32        |12        |,         |
|32        |13        |l         |
|32        |14        |)         |
|32        |15        |o         |
|32        |16        |i         |
|32        |17        |)         |
|32        |18        |o         |
|32        |19        |i         |
|32        |20        |;         |
|33        |1         |r         |
|33        |2         |i         |
|33        |3         |;         |
|34        |1         |}         |
|35        |1         |f         |
|35        |2         |t         |
|35        |3         |i         |
|35        |4         |(         |
|35        |5         |t         |
|35        |6         |i         |
|35        |7         |,         |
|35        |8         |t         |
|35        |9         |i         |
|35        |10        |)         |
|35        |11        |{         |
|36        |1         |r         |
|36        |2         |i         |
|36        |3         |o         |
|36        |4         |i         |
|36        |5         |;         |
|37        |1         |}         |
|38        |1         |f         |
|38        |2         |t         |
|38        |3         |i         |
|38        |4         |(         |
|38        |5         |t         |
|38        |6         |i         |
|38        |7         |,         |
|38        |8         |t         |
|38        |9         |i         |
|38        |10        |)         |
|38        |11        |{         |
|39        |1         |r         |
|39        |2         |(         |
|39        |3         |(         |
|39        |4         |i         |
|39        |5         |o         |
|39        |6         |i         |
|39        |7         |)         |
|39        |8         |o         |
|39        |9         |i         |
|39        |10        |(         |
|39        |11        |l         |
|39        |12        |,         |
|39        |13        |l         |
|39        |14        |)         |
|39        |15        |o         |
|39        |16        |i         |
