Таблица лексем
+--------------------------------+
|Строка    |Позиция   |Лексема   |
+--------------------------------+
|1         |1         |t         |
|1         |2         |i         |
|1         |3         |=         |
|1         |4         |l         |
|1         |5         |;         |
|2         |1         |f         |
|2         |2         |i         |
|2         |3         |i         |
|2         |4         |(         |
|2         |5         |i         |
|2         |6         |i         |
|2         |7         |)         |
|2         |8         |{         |
|3         |1         |r         |
|3         |2         |l         |
|3         |3         |o         |
|3         |4         |i         |
|3         |5         |o         |
|3         |6         |i         |
|3         |7         |o         |
|3         |8         |i         |
|3         |9         |;         |
|4         |1         |}         |
|5         |1         |f         |
|5         |2         |t         |
|5         |3         |i         |
|5         |4         |(         |
|5         |5         |t         |
|5         |6         |i         |
|5         |7         |,         |
|5         |8         |t         |
|5         |9         |i         |
|5         |10        |)         |
|5         |11        |{         |
|6         |1         |r         |
|6         |2         |i         |
|6         |3         |o         |
|6         |4         |i         |
|6         |5         |;         |
|7         |1         |}         |
|8         |1         |f         |
|8         |2         |t         |
|8         |3         |i         |
|8         |4         |(         |
|8         |5         |t         |
|8         |6         |i         |
|8         |7         |,         |
|8         |8         |t         |
|8         |9         |i         |
|8         |10        |)         |
|8         |11        |{         |
|9         |1         |r         |
|9         |2         |i         |
|9         |3         |o         |
|9         |4         |i         |
|9         |5         |;         |
|10        |1         |}         |
|11        |1         |f         |
|11        |2         |t         |
|11        |3         |i         |
|11        |4         |(         |
|11        |5         |t         |
|11        |6         |i         |
|11        |7         |,         |
|11        |8         |t         |
|11        |9         |i         |
|11        |10        |)         |
|11        |11        |{         |
|12        |1         |q         |
|12        |2         |(         |
|12        |3         |i         |
|12        |4         |u         |
|12        |5         |i         |
|12        |6         |)         |
|12        |7         |{         |
|13        |1         |r         |
|13        |2         |l         |
|13        |3         |;         |
|14        |1         |}         |
|15        |1         |s         |
|15        |2         |{         |
|16        |1         |r         |
|16        |2         |l         |
|16        |3         |;         |
|17        |1         |}         |
|18        |1         |r         |
|18        |2         |l         |
|18        |3         |;         |
|19        |1         |}         |
|20        |1         |f         |
|20        |2         |t         |
|20        |3         |i         |
|20        |4         |(         |
|20        |5         |t         |
|20        |6         |i         |
|20        |7         |,         |
|20        |8         |t         |
|20        |9         |i         |
|20        |10        |)         |
|20        |11        |{         |
|21        |1         |q         |
|21        |2         |(         |
|21        |3         |i         |
|21        |4         |u         |
|21        |5         |i         |
|21        |6         |)         |
|21        |7         |{         |
|22        |1         |r         |
|22        |2         |l         |
|22        |3         |;         |
|23        |1         |}         |
|24        |1         |s         |
|24        |2         |{         |
|25        |1         |r         |
|25        |2         |l         |
|25        |3         |;         |
|26        |1         |}         |
|27        |1         |r         |
|27        |2         |l         |
|27        |3         |;         |
|28        |1         |}         |
|29        |1         |f         |
|29        |2         |t         |
|29        |3         |i         |
|29        |4         |(         |
|29        |5         |t         |
|29        |6         |i         |
|29        |7         |,         |
|29        |8         |t         |
|29        |9         |i         |
|29        |10        |)         |
|29        |11        |{         |
|30        |1         |r         |
|30        |2         |i         |
|30        |3         |o         |
|30        |4         |i         |
|30        |5         |;         |
|31        |1         |}         |
|32        |1         |f         |
|32        |2         |t         |
|32        |3         |i         |
|32        |4         |(         |
|32        |5         |t         |
|32        |6         |i         |
|32        |7         |,         |
|32        |8         |t         |
|32        |9         |i         |
|32        |10        |)         |
|32        |11        |{         |
|33        |1         |t         |
|33        |2         |i         |
|33        |3         |=         |
|33        |4         |l         |
|33        |5         |;         |
|34        |1         |t         |
|34        |2         |i         |
|34        |3         |=         |
|34        |4         |(         |
|34        |5         |i         |
|34        |6         |o         |
|34        |7         |i         |
|34        |8         |o         |
|34        |9         |i         |
|34        |10        |(         |
|34        |11        |l         |
|34        |12        |,         |
|34        |13        |l         |
|34        |14        |)         |
|34        |15        |o         |
|34        |16        |i         |
|34        |17        |)         |
|34        |18        |o         |
|34        |19        |i         |
|34        |20        |;         |
|35        |1         |r         |
|35        |2         |i         |
|35        |3         |;         |
|36        |1         |}         |
|37        |1         |f         |
|37        |2         |t         |
|37        |3         |i         |
|37        |4         |(         |
|37        |5         |t         |
|37        |6         |i         |
|37        |7         |,         |
|37        |8         |t         |
|37        |9         |i         |
|37        |10        |)         |
|37        |11        |{         |
|38        |1         |r         |
|38        |2         |i         |
|38        |3         |o         |
|38        |4         |i         |
|38        |5         |;         |
|39        |1         |}         |
|40        |1         |f         |
|40        |2         |t         |
|40        |3         |i         |
|40        |4         |(         |
|40        |5         |t         |
|40        |6         |i         |
|40        |7         |,         |
|40        |8         |t         |
|40        |9         |i         |
